Player,Year,AvgPoints,MinutesPlayed,ThreePointsMade,ThreePointsAttempts,Rebounds,Assists
Michael Jordan,1,30.4,37.7,1.4,1.5,6.6,4.3
Michael Jordan,2,29.6,37.9,1.4,3.6,5.9,4.3
Michael Jordan,3,28.7,38.8,0.4,3.2,5.8,3.5
James Harden,1,29.1,36.4,3.2,9.3,8.1,11.2
James Harden,2,30.4,35.4,3.7,10,5.4,8.8
James Harden,3,36.1,36.8,4.8,13.2,6.6,7.5
Kevin Durant,1,25.1,33.4,1.9,5,8.3,4.8
Kevin Durant,2,26.4,34.2,2.5,6.1,6.8,5.4
Kevin Durant,3,26,34.6,1.8,5,6.4,5.9
Lebron James,1,26.4,37.8,1.7,4.6,8.6,8.7
Lebron James,2,27.5,36.9,1.8,5,8.6,9.1
Lebron James,3,27.4,35.2,2,5.9,8.5,8.3
Stephen Curry,1,25.3,33.4,4.1,10,4.5,6.6
Stephen Curry,2,26.4,32,4.2,9.8,5.1,6.1
Stephen Curry,3,27.3,33.8,5.1,11.7,5.3,5.2
Giannis Antetokounmpo,1,22.9,35.6,0.6,2.3,8.8,5.4
Giannis Antetokounmpo,2,26.9,36.7,0.6,1.9,10,4.8
Giannis Antetokounmpo,3,27.7,32.8,0.7,2.8,12.5,5.9
